Año,Id_Marca,Id_Modelo,Costo_Combustible,Co2,ID_Combustible
2017,129,3915,1950.0,326.0,2
2017,93,3431,1350.0,97.0,10
2017,42,1410,3850.0,523.0,1
2017,101,3050,2800.0,468.0,2
2017,101,3049,3100.0,523.0,2
2017,186,2559,2400.0,405.0,2
2017,186,2564,1900.0,311.0,2
2017,21,189,1600.0,285.0,3
2017,76,2672,500.0,0.0,4
2017,149,586,2950.0,402.0,1
2017,29,4392,1650.0,278.0,2
2017,30,120,2550.0,415.0,5
2017,74,3556,2300.0,388.0,2
1987,124,4728,2950.0,-1.0,2
1987,124,4729,2950.0,-1.0,2
1987,124,4730,2950.0,-1.0,2
2017,74,3553,2400.0,407.0,2
2017,74,1238,1950.0,328.0,2
2017,119,2382,2700.0,375.0,1
2017,171,5291,1850.0,248.0,1
2017,55,2231,1700.0,286.0,2
2017,55,2233,1500.0,254.0,2
1987,186,4728,2800.0,-1.0,2
1987,186,4729,2800.0,-1.0,2
1987,186,4730,2800.0,-1.0,2
2017,55,2262,1550.0,264.0,2
2017,55,2262,1850.0,303.0,2
2017,55,2263,1700.0,289.0,5
1987,186,4728,2950.0,-1.0,2
1987,186,4729,2950.0,-1.0,2
1987,186,4730,2950.0,-1.0,2
2017,55,4568,2800.0,467.0,2
2017,93,3409,1100.0,183.0,2
2017,129,3689,2400.0,396.0,2
2017,30,3456,1650.0,106.0,10
2017,93,3413,1250.0,207.0,2
2017,55,2261,650.0,0.0,4
2017,55,1109,1350.0,122.0,10
2017,129,3922,1550.0,261.0,2
2017,129,3921,1600.0,276.0,2
2017,186,307,2950.0,491.0,2
2017,129,4216,2400.0,330.0,1
2017,195,2497,2050.0,347.0,2
2017,182,3210,650.0,0.0,4
2017,182,3212,700.0,0.0,4
2017,182,3215,750.0,0.0,4
2017,178,2642,1950.0,331.0,2
1987,29,938,2550.0,-1.0,2
2017,178,2643,2050.0,335.0,2
2017,87,3381,2100.0,350.0,2
2017,123,1561,2500.0,346.0,1
2017,158,2173,5050.0,699.0,1
2017,158,2174,5050.0,699.0,1
2017,113,1271,1950.0,328.0,2
2017,1,3037,2400.0,329.0,1
2018,8,667,2400.0,327.0,1
2018,8,671,2400.0,327.0,1
2018,60,2364,2650.0,445.0,2
2018,8,3977,2700.0,374.0,1
2018,60,2364,3250.0,453.0,1
2018,15,1056,4350.0,596.0,1
2018,15,1057,4350.0,596.0,1
2017,149,3470,2850.0,378.0,1
2017,149,3487,3100.0,420.0,1
1985,178,4199,2050.0,-1.0,2
1985,178,4200,2050.0,-1.0,2
2018,21,278,2500.0,343.0,1
2018,21,456,3450.0,463.0,1
2018,21,276,2400.0,324.0,1
2018,21,277,2400.0,324.0,1
2018,21,288,2600.0,352.0,1
2018,21,291,2850.0,390.0,1
2018,21,3014,4100.0,553.0,1
2017,182,3209,700.0,0.0,4
2018,178,4928,3450.0,471.0,1
2018,178,2276,1900.0,315.0,2
2017,27,1255,2500.0,144.0,7
2018,85,2116,2850.0,390.0,1
2018,85,2129,3650.0,485.0,1
2018,85,5086,2850.0,383.0,1
2018,85,2108,3250.0,446.0,1
2018,52,301,3650.0,495.0,1
2018,99,2783,2200.0,301.0,1
2018,186,1108,1850.0,305.0,2
2018,76,1929,1850.0,301.0,2
2018,76,4151,2200.0,379.0,2
1987,129,4843,2950.0,-1.0,2
2018,76,4150,2400.0,406.0,2
2015,125,3085,3300.0,563.0,2
2015,125,3086,3300.0,563.0,2
2018,52,531,5050.0,661.0,1
2018,93,3428,1850.0,310.0,2
2018,8,673,2350.0,311.0,1
2017,98,1726,2550.0,448.0,3
1987,42,1001,3300.0,-1.0,2
2018,93,4419,2300.0,392.0,2
2018,93,4377,2400.0,414.0,2
2018,93,4417,2400.0,400.0,2
2018,111,3687,3850.0,517.0,1
2018,93,4378,2550.0,434.0,2
2018,196,4806,2950.0,393.0,1
2018,1,3755,2850.0,386.0,1
2017,74,1458,2050.0,279.0,1
2018,8,651,1900.0,315.0,2
2018,186,5185,1600.0,271.0,2
