,Year,Manufacturer,Model,charge240,feScore,fuelCost08,fuelType1,VClass
27801,2017,,131,0.0,6.0,1900.0,1,0
27803,2017,,295,0.0,7.0,2250.0,0,2
27804,2017,,279,0.0,6.0,2050.0,1,2
27817,2017,,84,0.0,6.0,2350.0,0,2
27832,2017,,102,0.0,5.0,2950.0,0,2
27836,2017,,284,0.0,8.0,1700.0,2,2
27854,2017,,342,0.0,4.0,3100.0,0,1
27855,2017,,90,0.0,5.0,2950.0,0,1
27856,2017,,54,0.0,4.0,3100.0,0,1
27857,2017,,212,0.0,4.0,3100.0,0,1
27862,2017,,56,0.0,7.0,1750.0,1,0
27863,2017,,220,0.0,6.0,2400.0,0,2
27868,2016,,74,0.0,6.0,1950.0,1,0
27872,2017,,155,0.0,10.0,1150.0,1,2
27882,2017,,251,0.0,8.0,1600.0,2,2
27883,2017,,251,0.0,8.0,1600.0,2,2
27889,2018,,181,0.0,6.0,2400.0,0,0
27890,2018,,220,0.0,6.0,2400.0,0,2
27892,2018,,181,0.0,6.0,2400.0,0,0
27896,2018,,111,0.0,6.0,2400.0,0,0
27897,2018,,304,0.0,5.0,2700.0,0,0
27898,2018,,271,0.0,4.0,3250.0,0,0
27899,2018,,403,0.0,4.0,2950.0,0,0
27900,2018,,404,0.0,4.0,3250.0,0,0
27902,2018,,290,0.0,5.0,2600.0,0,2
27903,2018,,291,0.0,4.0,2950.0,0,2
27904,2018,,114,0.0,3.0,3450.0,0,2
27915,2018,,115,0.0,5.0,2700.0,0,2
27924,2018,,292,0.0,3.0,3850.0,0,1
27925,2018,,442,0.0,5.0,2600.0,0,2
27933,2018,,136,0.0,2.0,4350.0,0,0
27940,2018,,73,0.0,7.0,1650.0,1,2
27942,2018,,436,0.0,6.0,1850.0,1,2
27950,2018,,49,0.0,5.0,2850.0,0,0
27961,2018,,353,0.0,4.0,2950.0,0,0
27962,2018,,131,0.0,6.0,1850.0,1,0
27963,2018,,41,0.0,6.0,2350.0,0,2
27966,2018,,15,0.0,5.0,2600.0,0,2
27975,2017,,286,0.0,1.0,5050.0,0,0
27976,2017,,443,1.0,8.0,2200.0,0,2
27978,2018,,19,0.0,4.0,3250.0,0,2
27990,2018,,37,0.0,5.0,2050.0,1,0
27991,2018,,80,0.0,7.0,2200.0,0,0
27992,2018,,249,0.0,7.0,2200.0,0,0
27993,2018,,35,0.0,8.0,1600.0,1,2
28013,2018,,128,0.0,5.0,2700.0,0,0
28015,2018,,79,0.0,4.0,3100.0,0,0
28016,2018,,249,0.0,7.0,2050.0,0,0
28017,2018,,82,0.0,6.0,2350.0,0,0
28018,2018,,243,0.0,6.0,2400.0,0,2
28019,2018,,397,0.0,5.0,2600.0,0,2
28020,2018,,397,0.0,5.0,2850.0,0,2
28021,2018,,251,0.0,8.0,1600.0,1,2
28031,2018,,120,0.0,5.0,2700.0,0,1
28032,2018,,204,0.0,5.0,2700.0,0,1
28033,2018,,88,0.0,5.0,2700.0,0,1
28034,2018,,342,0.0,4.0,2950.0,0,1
28044,2018,,212,0.0,4.0,3100.0,0,1
28045,2018,,212,0.0,4.0,2950.0,0,1
28046,2018,,126,0.0,5.0,2600.0,0,0
28053,2018,,416,0.0,3.0,3450.0,0,0
28054,2018,,267,0.0,3.0,3450.0,0,0
28055,2018,,437,0.0,7.0,2100.0,0,2
28068,2018,,278,0.0,3.0,3450.0,0,2
28072,2018,,266,2.0,9.0,2200.0,0,2
28073,2018,,444,3.0,8.0,3250.0,0,0
